Entity,Code,Year,Concentrations of fine particulate matter (PM2.5) - Residence area type: Total
Afghanistan,AFG,2019,62.48616
Albania,ALB,2019,16.27997
Algeria,DZA,2019,22.68313
Andorra,AND,2019,8.52423
Angola,AGO,2019,27.16477
Antigua and Barbuda,ATG,2019,8.29693
Argentina,ARG,2019,12.04087
Armenia,ARM,2019,34.12674
Australia,AUS,2019,8.93323
Austria,AUT,2019,11.50796
Azerbaijan,AZE,2019,24.64286
Bahamas,BHS,2019,5.19903
Bahrain,BHR,2019,51.81722
Bangladesh,BGD,2019,45.98906
Barbados,BRB,2019,9.78987
Belarus,BLR,2019,15.48201
Belgium,BEL,2019,11.25612
Belize,BLZ,2019,10.50946
Benin,BEN,2019,31.51453
Bhutan,BTN,2019,26.09506
Bolivia,BOL,2019,25.23416
Bosnia and Herzegovina,BIH,2019,26.19402
Botswana,BWA,2019,12.8184
Brazil,BRA,2019,10.94008
Brunei,BRN,2019,6.86475
Bulgaria,BGR,2019,17.29031
Burkina Faso,BFA,2019,40.74491
Burundi,BDI,2019,27.99587
Cambodia,KHM,2019,17.80251
Cameroon,CMR,2019,56.36692
Canada,CAN,2019,6.38944
Cape Verde,CPV,2019,31.08072
Central African Republic,CAF,2019,27.19802
Chad,TCD,2019,41.15263
Chile,CHL,2019,20.48648
China,CHN,2019,38.153
Colombia,COL,2019,14.03552
Comoros,COM,2019,14.3724
Congo,COG,2019,29.48397
Costa Rica,CRI,2019,14.69544
Cote d'Ivoire,CIV,2019,40.41493
Croatia,HRV,2019,15.28803
Cuba,CUB,2019,13.31979
Cyprus,CYP,2019,14.51621
Czechia,CZE,2019,14.34125
Democratic Republic of Congo,COD,2019,31.57858
Denmark,DNK,2019,9.65653
Djibouti,DJI,2019,19.98484
Dominica,DMA,2019,8.22238
Dominican Republic,DOM,2019,7.58534
East Timor,TLS,2019,20.47387
Ecuador,ECU,2019,16.54855
Egypt,EGY,2019,63.15743
El Salvador,SLV,2019,22.15224
Equatorial Guinea,GNQ,2019,25.66867
Eritrea,ERI,2019,22.74486
Estonia,EST,2019,6.35007
Eswatini,SWZ,2019,15.07308
Ethiopia,ETH,2019,21.80471
Fiji,FJI,2019,7.36073
Finland,FIN,2019,5.46669
France,FRA,2019,10.45709
Gabon,GAB,2019,26.28642
Gambia,GMB,2019,39.10354
Georgia,GEO,2019,19.06419
Germany,DEU,2019,10.73096
Ghana,GHA,2019,46.04334
Greece,GRC,2019,14.62251
Grenada,GRD,2019,10.08384
Guatemala,GTM,2019,20.74787
Guinea,GIN,2019,37.57394
Guinea-Bissau,GNB,2019,34.84998
Guyana,GUY,2019,11.10584
Haiti,HTI,2019,9.69133
Honduras,HND,2019,18.93138
Hungary,HUN,2019,14.24457
Iceland,ISL,2019,5.78865
India,IND,2019,50.17359
Indonesia,IDN,2019,19.3398
Iran,IRN,2019,31.61622
Iraq,IRQ,2019,39.28878
Ireland,IRL,2019,8.19503
Israel,ISR,2019,19.47101
Italy,ITA,2019,14.22481
Jamaica,JAM,2019,14.8314
Japan,JPN,2019,10.83519
Jordan,JOR,2019,25.87215
Kazakhstan,KAZ,2019,26.50215
Kenya,KEN,2019,12.52415
Kiribati,KIR,2019,7.61811
Kuwait,KWT,2019,64.07714
Kyrgyzstan,KGZ,2019,37.58464
Laos,LAO,2019,21.15498
Latvia,LVA,2019,12.02183
Lebanon,LBN,2019,24.234
Lesotho,LSO,2019,17.59755
Liberia,LBR,2019,35.79581
Libya,LBY,2019,29.83557
Lithuania,LTU,2019,10.36907
Luxembourg,LUX,2019,8.89471
Madagascar,MDG,2019,16.02251
Malawi,MWI,2019,18.56954
Malaysia,MYS,2019,21.52164
Maldives,MDV,2019,13.00334
Mali,MLI,2019,38.54882
Malta,MLT,2019,12.93003
Marshall Islands,MHL,2019,7.21485
Mauritania,MRT,2019,41.98461
Mauritius,MUS,2019,10.48182
Mexico,MEX,2019,17.82781
Micronesia (country),FSM,2019,7.78563
Moldova,MDA,2019,12.36523
Monaco,MCO,2019,9.21092
Mongolia,MNG,2019,41.30377
Montenegro,MNE,2019,19.29617
Morocco,MAR,2019,13.44048
Mozambique,MOZ,2019,16.44818
Myanmar,MMR,2019,27.16498
Namibia,NAM,2019,11.81074
Nauru,NRU,2019,7.40486
Nepal,NPL,2019,36.43171
Netherlands,NLD,2019,10.7416
New Zealand,NZL,2019,8.60929
Nicaragua,NIC,2019,16.00181
Niger,NER,2019,50.15037
Nigeria,NGA,2019,55.64206
North Korea,PRK,2019,41.46032
North Macedonia,MKD,2019,25.16804
Norway,NOR,2019,6.30111
Oman,OMN,2019,34.88286
Pakistan,PAK,2019,50.13067
Palau,PLW,2019,7.82424
Palestine,PSE,2019,30.8191
Panama,PAN,2019,11.77915
Papua New Guinea,PNG,2019,8.88558
Paraguay,PRY,2019,12.30993
Peru,PER,2019,29.06587
Philippines,PHL,2019,22.45141
Poland,POL,2019,18.82808
Portugal,PRT,2019,7.34244
Qatar,QAT,2019,59.03746
Romania,ROU,2019,13.30043
Russia,RUS,2019,8.88468
Rwanda,RWA,2019,35.65776
Saint Kitts and Nevis,KNA,2019,8.05126
Saint Lucia,LCA,2019,8.97661
Saint Vincent and the Grenadines,VCT,2019,9.41283
Samoa,WSM,2019,7.77989
San Marino,SMR,2019,9.84868
Sao Tome and Principe,STP,2019,33.74991
Saudi Arabia,SAU,2019,57.15638
Senegal,SEN,2019,38.21284
Serbia,SRB,2019,21.73909
Seychelles,SYC,2019,16.95663
Sierra Leone,SLE,2019,39.4217
Singapore,SGP,2019,13.33302
Slovakia,SVK,2019,15.89146
Slovenia,SVN,2019,14.07638
Solomon Islands,SLB,2019,7.8289
Somalia,SOM,2019,14.27733
South Africa,ZAF,2019,19.74802
South Korea,KOR,2019,24.03774
South Sudan,SSD,2019,20.18219
Spain,ESP,2019,9.3416
Sri Lanka,LKA,2019,23.87759
Sudan,SDN,2019,21.42613
Suriname,SUR,2019,12.17056
Sweden,SWE,2019,5.95539
Switzerland,CHE,2019,8.96682
Syria,SYR,2019,25.14079
Tajikistan,TJK,2019,53.64558
Tanzania,TZA,2019,15.36389
Thailand,THA,2019,24.63927
Togo,TGO,2019,35.65757
Tonga,TON,2019,7.52079
Trinidad and Tobago,TTO,2019,10.26482
Tunisia,TUN,2019,26.52402
Turkey,TUR,2019,23.25106
Turkmenistan,TKM,2019,26.40925
Tuvalu,TUV,2019,6.80654
Uganda,UGA,2019,31.31261
Ukraine,UKR,2019,13.50727
United Arab Emirates,ARE,2019,41.7495
United Kingdom,GBR,2019,9.51575
United States,USA,2019,7.17987
Uruguay,URY,2019,8.47571
Uzbekistan,UZB,2019,40.97948
Vanuatu,VUT,2019,8.42148
Venezuela,VEN,2019,16.21392
Vietnam,VNM,2019,20.8923
Yemen,YEM,2019,41.60944
Zambia,ZMB,2019,16.8967
Zimbabwe,ZWE,2019,13.07553