Entity,Code,Year,Women
China,CHN,1990,3.7408824
China,CHN,1991,3.9197943
China,CHN,1992,4.098706
China,CHN,1993,4.277618
China,CHN,1994,4.4565296
China,CHN,1995,4.6354413
China,CHN,1996,4.814353
China,CHN,1997,4.9932647
China,CHN,1998,5.172177
China,CHN,1999,5.3510885
China,CHN,2000,5.53
China,CHN,2001,5.6400003
China,CHN,2002,5.75
China,CHN,2003,5.86
China,CHN,2004,5.9700003
China,CHN,2005,6.08
China,CHN,2006,6.19
China,CHN,2007,6.3
China,CHN,2008,6.4100003
China,CHN,2009,6.52
China,CHN,2010,6.63
China,CHN,2011,6.6675014
China,CHN,2012,6.7050023
China,CHN,2013,6.7425036
China,CHN,2014,6.780005
China,CHN,2015,6.8175063
China,CHN,2016,6.855007
China,CHN,2017,6.8925085
China,CHN,2018,6.93001
China,CHN,2019,7.2850046
China,CHN,2020,7.64
China,CHN,2021,7.8178096
China,CHN,2022,7.8178096
China,CHN,2023,7.8178096
Saudi Arabia,SAU,1990,3.506484
Saudi Arabia,SAU,1991,3.6494482
Saudi Arabia,SAU,1992,3.7924123
Saudi Arabia,SAU,1993,3.9353762
Saudi Arabia,SAU,1994,4.0783405
Saudi Arabia,SAU,1995,4.2213044
Saudi Arabia,SAU,1996,4.3990436
Saudi Arabia,SAU,1997,4.5767827
Saudi Arabia,SAU,1998,4.754522
Saudi Arabia,SAU,1999,4.932261
Saudi Arabia,SAU,2000,5.11
Saudi Arabia,SAU,2001,5.505
Saudi Arabia,SAU,2002,5.9
Saudi Arabia,SAU,2003,6.295
Saudi Arabia,SAU,2004,6.69
Saudi Arabia,SAU,2005,6.9466667
Saudi Arabia,SAU,2006,7.2033334
Saudi Arabia,SAU,2007,7.46
Saudi Arabia,SAU,2008,7.7166667
Saudi Arabia,SAU,2009,7.9733334
Saudi Arabia,SAU,2010,8.23
Saudi Arabia,SAU,2011,8.486667
Saudi Arabia,SAU,2012,8.743334
Saudi Arabia,SAU,2013,9
Saudi Arabia,SAU,2014,9.1875
Saudi Arabia,SAU,2015,9.375
Saudi Arabia,SAU,2016,9.5625
Saudi Arabia,SAU,2017,9.75
Saudi Arabia,SAU,2018,10.08
Saudi Arabia,SAU,2019,10.41
Saudi Arabia,SAU,2020,10.74
Saudi Arabia,SAU,2021,11.036193
Saudi Arabia,SAU,2022,11.036193
Saudi Arabia,SAU,2023,11.036193