Entity,Code,Year,Literacy rate among adults
China,CHN,1982,66
China,CHN,1990,78
China,CHN,2000,91
China,CHN,2010,95
China,CHN,2020,97
East Asia and Pacific (WB),,1976,65.691
East Asia and Pacific (WB),,1977,65.87666
East Asia and Pacific (WB),,1978,66.96806
East Asia and Pacific (WB),,1979,68.20414
East Asia and Pacific (WB),,1980,69.30146
East Asia and Pacific (WB),,1981,70.34557
East Asia and Pacific (WB),,1982,71.3144
East Asia and Pacific (WB),,1983,72.2447
East Asia and Pacific (WB),,1984,73.23163
East Asia and Pacific (WB),,1985,74.16798
East Asia and Pacific (WB),,1986,75.00072
East Asia and Pacific (WB),,1987,76.17425
East Asia and Pacific (WB),,1988,79.95977
East Asia and Pacific (WB),,1989,80.58923
East Asia and Pacific (WB),,1990,81.17076
East Asia and Pacific (WB),,1991,81.71117
East Asia and Pacific (WB),,1992,82.22357
East Asia and Pacific (WB),,1993,82.68984
East Asia and Pacific (WB),,1994,83.24469
East Asia and Pacific (WB),,1995,83.8043
East Asia and Pacific (WB),,1996,84.29005
East Asia and Pacific (WB),,1997,89.27749
East Asia and Pacific (WB),,1998,89.64291
East Asia and Pacific (WB),,1999,89.96028
East Asia and Pacific (WB),,2000,90.32185
East Asia and Pacific (WB),,2001,90.63564
East Asia and Pacific (WB),,2002,90.98982
East Asia and Pacific (WB),,2003,91.36144
East Asia and Pacific (WB),,2004,91.69448
East Asia and Pacific (WB),,2005,92.02961
East Asia and Pacific (WB),,2006,92.37919
East Asia and Pacific (WB),,2007,93.5125
East Asia and Pacific (WB),,2008,93.81618
East Asia and Pacific (WB),,2009,94.08518
East Asia and Pacific (WB),,2010,94.20017
East Asia and Pacific (WB),,2011,93.8646
East Asia and Pacific (WB),,2012,94.09502
East Asia and Pacific (WB),,2013,94.20693
East Asia and Pacific (WB),,2014,94.71124
East Asia and Pacific (WB),,2015,94.92792
East Asia and Pacific (WB),,2016,95.13196
East Asia and Pacific (WB),,2017,95.32305
East Asia and Pacific (WB),,2018,95.36943
East Asia and Pacific (WB),,2019,95.80688
East Asia and Pacific (WB),,2020,96.0287
East Asia and Pacific (WB),,2021,96.16493
East Asia and Pacific (WB),,2022,96.30093
East Asia and Pacific (WB),,2023,96.43049
Saudi Arabia,SAU,1992,71
Saudi Arabia,SAU,2000,79
Saudi Arabia,SAU,2004,83
Saudi Arabia,SAU,2013,94
Saudi Arabia,SAU,2017,95
Saudi Arabia,SAU,2020,98
World,OWID_WRL,1976,65.65894
World,OWID_WRL,1977,65.94926
World,OWID_WRL,1978,66.57221
World,OWID_WRL,1979,67.2339
World,OWID_WRL,1980,67.8477
World,OWID_WRL,1981,68.45067
World,OWID_WRL,1982,69.04228
World,OWID_WRL,1983,69.61146
World,OWID_WRL,1984,70.2725
World,OWID_WRL,1985,70.86449
World,OWID_WRL,1986,71.41617
World,OWID_WRL,1987,72.10954
World,OWID_WRL,1988,73.82419
World,OWID_WRL,1989,74.34693
World,OWID_WRL,1990,74.90702
World,OWID_WRL,1991,75.28651
World,OWID_WRL,1992,75.69432
World,OWID_WRL,1993,76.10245
World,OWID_WRL,1994,76.50147
World,OWID_WRL,1995,76.91185
World,OWID_WRL,1996,77.29632
World,OWID_WRL,1997,79.28844
World,OWID_WRL,1998,80.4687
World,OWID_WRL,1999,80.806
World,OWID_WRL,2000,80.97923
World,OWID_WRL,2001,81.28601
World,OWID_WRL,2002,81.64019
World,OWID_WRL,2003,82.11429
World,OWID_WRL,2004,82.44728
World,OWID_WRL,2005,82.45476
World,OWID_WRL,2006,82.42529
World,OWID_WRL,2007,83.01185
World,OWID_WRL,2008,83.38555
World,OWID_WRL,2009,83.60871
World,OWID_WRL,2010,84.2272
World,OWID_WRL,2011,84.41082
World,OWID_WRL,2012,84.60142
World,OWID_WRL,2013,84.90313
World,OWID_WRL,2014,85.28642
World,OWID_WRL,2015,85.67891
World,OWID_WRL,2016,86.00014
World,OWID_WRL,2017,86.17703
World,OWID_WRL,2018,86.43751
World,OWID_WRL,2019,86.54794
World,OWID_WRL,2020,86.74748
World,OWID_WRL,2021,86.92754
World,OWID_WRL,2022,87.15536
World,OWID_WRL,2023,87.35603