Entity,Code,Year,Men
Afghanistan,AFG,2023,3.91274
Albania,ALB,2023,10.497339
Algeria,DZA,2023,7.8926973
Andorra,AND,2023,11.7
Angola,AGO,2023,7.2633176
Antigua and Barbuda,ATG,2023,11.07553
Argentina,ARG,2023,10.888263
Armenia,ARM,2023,11.33355
Australia,AUS,2023,12.78
Austria,AUT,2023,12.598325
Azerbaijan,AZE,2023,11.16
Bahamas,BHS,2023,12.756915
Bahrain,BHR,2023,10.63
Bangladesh,BGD,2023,7.35
Barbados,BRB,2023,9.113042
Belarus,BLR,2023,12.289604
Belgium,BEL,2023,12.666219
Belize,BLZ,2023,8.76983
Benin,BEN,2023,4.58988
Bhutan,BTN,2023,6.330068
Bolivia,BOL,2023,10.739441
Bosnia and Herzegovina,BIH,2023,11.66
Botswana,BWA,2023,10.524
Brazil,BRA,2023,8.182779
Brunei,BRN,2023,9.292
Bulgaria,BGR,2023,11.352496
Burkina Faso,BFA,2023,3.09997
Burundi,BDI,2023,4.3028736
Cambodia,KHM,2023,6.20046
Cameroon,CMR,2023,7.583448
Canada,CAN,2023,13.79
Cape Verde,CPV,2023,6.32914
Central African Republic,CAF,2023,5.439187
Chad,TCD,2023,3.5453393
Chile,CHL,2023,11.388118
China,CHN,2023,8.268926
Colombia,COL,2023,8.862857
Comoros,COM,2023,6.93481
Congo,COG,2023,9.448292
Costa Rica,CRI,2023,8.7426605
Cote d'Ivoire,CIV,2023,5.63
Croatia,HRV,2023,12.327333
Cuba,CUB,2023,10.5292
Cyprus,CYP,2023,12.562073
Czechia,CZE,2023,13.100528
Democratic Republic of Congo,COD,2023,8.960912
Denmark,DNK,2023,12.817209
Djibouti,DJI,2023,5.0850196
Dominica,DMA,2023,10.23323
Dominican Republic,DOM,2023,8.990711
East Timor,TLS,2023,6.7883477
Ecuador,ECU,2023,9.03
Egypt,EGY,2023,9.727431
El Salvador,SLV,2023,7.64
Eritrea,ERI,2023,5.712373
Estonia,EST,2023,13.330837
Eswatini,SWZ,2023,8.9424
Ethiopia,ETH,2023,3.171876
Fiji,FJI,2023,10.30622
Finland,FIN,2023,12.779096
France,FRA,2023,11.922238
Gabon,GAB,2023,8.862
Gambia,GMB,2023,5.7504487
Georgia,GEO,2023,12.63
Germany,DEU,2023,14.550225
Ghana,GHA,2023,8.33082
Greece,GRC,2023,11.908116
Grenada,GRD,2023,9.552361
Guatemala,GTM,2023,6.46758
Guinea,GIN,2023,3.603597
Guinea-Bissau,GNB,2023,5.062823
Guyana,GUY,2023,8.624688
Haiti,HTI,2023,6.13781
Honduras,HND,2023,8.0910635
Hungary,HUN,2023,12.48708
Iceland,ISL,2023,13.826582
India,IND,2023,7.96
Indonesia,IDN,2023,9.019673
Iran,IRN,2023,10.840576
Iraq,IRQ,2023,8.038201
Ireland,IRL,2023,11.511036
Israel,ISR,2023,13.482789
Italy,ITA,2023,10.965548
Jamaica,JAM,2023,9.62792
Japan,JPN,2023,13.033039
Jordan,JOR,2023,10.87
Kazakhstan,KAZ,2023,12.527197
Kenya,KEN,2023,9.34795
Kiribati,KIR,2023,8.9650955
Kuwait,KWT,2023,7.1374507
Kyrgyzstan,KGZ,2023,12.167684
Laos,LAO,2023,6.984391
Latvia,LVA,2023,13.058045
Lebanon,LBN,2023,9.13
Lesotho,LSO,2023,6.984122
Liberia,LBR,2023,7.849297
Libya,LBY,2023,7.1850023
Liechtenstein,LIE,2023,12.612256
Lithuania,LTU,2023,13.493948
Luxembourg,LUX,2023,12.38886
Madagascar,MDG,2023,4.93546
Malawi,MWI,2023,6.39567
Malaysia,MYS,2023,11.21
Maldives,MDV,2023,7.3632483
Mali,MLI,2023,2.16
Malta,MLT,2023,12.594262
Marshall Islands,MHL,2023,11.829183
Mauritania,MRT,2023,5.853776
Mauritius,MUS,2023,10.132294
Mexico,MEX,2023,9.472167
Micronesia (country),FSM,2023,7.782545
Moldova,MDA,2023,11.74
Mongolia,MNG,2023,8.85
Montenegro,MNE,2023,13.34111
Morocco,MAR,2023,7.102
Mozambique,MOZ,2023,5.67232
Myanmar,MMR,2023,6.73
Namibia,NAM,2023,6.996108
Nauru,NRU,2023,10.227691
Nepal,NPL,2023,5.80431
Netherlands,NLD,2023,12.893315
New Zealand,NZL,2023,12.877489
Nicaragua,NIC,2023,9.9631
Niger,NER,2023,1.8362933
Nigeria,NGA,2023,8.70036
North Macedonia,MKD,2023,10.81
Norway,NOR,2023,12.9550705
Oman,OMN,2023,11.69
Pakistan,PAK,2023,4.569596
Palau,PLW,2023,13.25754
Palestine,PSE,2023,10.03
Panama,PAN,2023,10.541906
Papua New Guinea,PNG,2023,5.663152
Paraguay,PRY,2023,8.940973
Peru,PER,2023,10.734984
Philippines,PHL,2023,9.78084
Poland,POL,2023,12.998184
Portugal,PRT,2023,9.6635065
Qatar,QAT,2023,10.24
Romania,ROU,2023,11.82
Russia,RUS,2023,12.32
Rwanda,RWA,2023,5.32
Saint Kitts and Nevis,KNA,2023,10.576899
Saint Lucia,LCA,2023,8.3610525
Saint Vincent and the Grenadines,VCT,2023,11.186092
Samoa,WSM,2023,10.892689
San Marino,SMR,2023,11.38
Sao Tome and Principe,STP,2023,6.765752
Saudi Arabia,SAU,2023,11.96711
Senegal,SEN,2023,3.8171685
Serbia,SRB,2023,11.9538
Seychelles,SYC,2023,11.394357
Sierra Leone,SLE,2023,4.8156343
Singapore,SGP,2023,12.33
Slovakia,SVK,2023,13.098713
Slovenia,SVN,2023,12.867333
Solomon Islands,SLB,2023,6.842834
Somalia,SOM,2023,2.92
South Africa,ZAF,2023,11.72
South Korea,KOR,2023,13.334147
South Sudan,SSD,2023,6.19
Spain,ESP,2023,10.820974
Sri Lanka,LKA,2023,10.84
Sudan,SDN,2023,4.286
Suriname,SUR,2023,8.208034
Sweden,SWE,2023,12.551432
Switzerland,CHE,2023,14.290242
Syria,SYR,2023,6.7128997
Tajikistan,TJK,2023,11.615877
Tanzania,TZA,2023,6.74073
Thailand,THA,2023,9.23
Togo,TGO,2023,7.3809814
Tonga,TON,2023,10.832236
Trinidad and Tobago,TTO,2023,10.63588
Tunisia,TUN,2023,8.23004
Turkey,TUR,2023,9.718927
Turkmenistan,TKM,2023,11.549819
Tuvalu,TUV,2023,10.918415
Uganda,UGA,2023,7.8618116
Ukraine,UKR,2023,10.738952
United Arab Emirates,ARE,2023,13.11
United Kingdom,GBR,2023,13.43
United States,USA,2023,13.82
Uruguay,URY,2023,10.25
Uzbekistan,UZB,2023,12.08
Vanuatu,VUT,2023,7.503931
Venezuela,VEN,2023,9.66611
Vietnam,VNM,2023,9.47
Yemen,YEM,2023,7.45416
Zambia,ZMB,2023,8.418287
Zimbabwe,ZWE,2023,9.722002