Entity,Code,Year,Under-five mortality rate (selected)
China,CHN,1950,31.71
China,CHN,1955,29.1
China,CHN,1958,23.33
China,CHN,1959,26.85
China,CHN,1960,30.9
China,CHN,1961,26.19
China,CHN,1962,16.78
China,CHN,1965,11.54
China,CHN,1968,13.23
China,CHN,1969,11.91
China,CHN,1970,11.31
China,CHN,1971,10.73
China,CHN,1972,10.17
China,CHN,1973,9.61
China,CHN,1974,9.05
China,CHN,1975,8.5
China,CHN,1976,7.97
China,CHN,1977,7.47
China,CHN,1978,7.01
China,CHN,1979,6.62
China,CHN,1980,6.28
China,CHN,1981,6
China,CHN,1982,5.78
China,CHN,1983,5.61
China,CHN,1984,5.5
China,CHN,1985,5.43
China,CHN,1986,5.4
China,CHN,1987,5.4
China,CHN,1988,5.4
China,CHN,1989,5.39
China,CHN,1990,5.37
China,CHN,1991,5.31
China,CHN,1992,5.22
China,CHN,1993,5.08
China,CHN,1994,4.93
China,CHN,1995,4.75
China,CHN,1996,4.56
China,CHN,1997,4.36
China,CHN,1998,4.14
China,CHN,1999,3.91
China,CHN,2000,3.67
China,CHN,2001,3.42
China,CHN,2002,3.15
China,CHN,2003,2.89
China,CHN,2004,2.64
China,CHN,2005,2.4
China,CHN,2006,2.19
China,CHN,2007,2.01
China,CHN,2008,1.85
China,CHN,2009,1.71
China,CHN,2010,1.58
China,CHN,2011,1.46
China,CHN,2012,1.35
China,CHN,2013,1.25
China,CHN,2014,1.15
China,CHN,2015,1.07
China,CHN,2016,0.99
China,CHN,2017,0.92
China,CHN,2018,0.86
China,CHN,2019,0.8
China,CHN,2020,0.75
China,CHN,2021,0.7
China,CHN,2022,0.66
China,CHN,2023,0.62
Japan,JPN,1920,27
Japan,JPN,1921,28.6
Japan,JPN,1922,27
Japan,JPN,1923,26.52
Japan,JPN,1924,25.32
Japan,JPN,1925,22.78
Japan,JPN,1926,21.85
Japan,JPN,1927,22.78
Japan,JPN,1928,22.03
Japan,JPN,1929,22.78
Japan,JPN,1930,19.6
Japan,JPN,1931,20.91
Japan,JPN,1932,18.28
Japan,JPN,1933,19.03
Japan,JPN,1934,19.6
Japan,JPN,1935,16.22
Japan,JPN,1936,18.09
Japan,JPN,1937,16.04
Japan,JPN,1938,17.72
Japan,JPN,1939,16.22
Japan,JPN,1940,13.12
Japan,JPN,1941,12.06
Japan,JPN,1942,12.41
Japan,JPN,1943,12.59
Japan,JPN,1947,14.76
Japan,JPN,1948,9.92
Japan,JPN,1949,10.12
Japan,JPN,1950,9.14
Japan,JPN,1951,8.26
Japan,JPN,1952,7.49
Japan,JPN,1953,6.83
Japan,JPN,1954,6.27
Japan,JPN,1955,5.8
Japan,JPN,1956,5.4
Japan,JPN,1957,5.03
Japan,JPN,1958,4.68
Japan,JPN,1959,4.33
Japan,JPN,1960,3.97
Japan,JPN,1961,3.62
Japan,JPN,1962,3.29
Japan,JPN,1963,2.98
Japan,JPN,1964,2.7
Japan,JPN,1965,2.46
Japan,JPN,1966,2.26
Japan,JPN,1967,2.1
Japan,JPN,1968,1.96
Japan,JPN,1969,1.85
Japan,JPN,1970,1.75
Japan,JPN,1971,1.65
Japan,JPN,1972,1.57
Japan,JPN,1973,1.49
Japan,JPN,1974,1.41
Japan,JPN,1975,1.33
Japan,JPN,1976,1.25
Japan,JPN,1977,1.18
Japan,JPN,1978,1.11
Japan,JPN,1979,1.05
Japan,JPN,1980,0.99
Japan,JPN,1981,0.93
Japan,JPN,1982,0.88
Japan,JPN,1983,0.83
Japan,JPN,1984,0.79
Japan,JPN,1985,0.75
Japan,JPN,1986,0.71
Japan,JPN,1987,0.68
Japan,JPN,1988,0.66
Japan,JPN,1989,0.64
Japan,JPN,1990,0.63
Japan,JPN,1991,0.62
Japan,JPN,1992,0.61
Japan,JPN,1993,0.6
Japan,JPN,1994,0.59
Japan,JPN,1995,0.57
Japan,JPN,1996,0.55
Japan,JPN,1997,0.52
Japan,JPN,1998,0.5
Japan,JPN,1999,0.47
Japan,JPN,2000,0.45
Japan,JPN,2001,0.43
Japan,JPN,2002,0.41
Japan,JPN,2003,0.4
Japan,JPN,2004,0.39
Japan,JPN,2005,0.37
Japan,JPN,2006,0.36
Japan,JPN,2007,0.35
Japan,JPN,2008,0.34
Japan,JPN,2009,0.34
Japan,JPN,2010,0.33
Japan,JPN,2011,0.33
Japan,JPN,2012,0.31
Japan,JPN,2013,0.3
Japan,JPN,2014,0.29
Japan,JPN,2015,0.28
Japan,JPN,2016,0.27
Japan,JPN,2017,0.26
Japan,JPN,2018,0.25
Japan,JPN,2019,0.25
Japan,JPN,2020,0.24
Japan,JPN,2021,0.24
Japan,JPN,2022,0.24
Japan,JPN,2023,0.24