Entity,Code,Year,Nitrogen oxides,Sulfur dioxide,Carbon monoxide,Black carbon,Ammonia,Non-methane volatile organic compounds
China,CHN,1750,26179.973,38515.68,17587494,156608.14,1057514.8,1726293.1
China,CHN,1751,26257.512,38626.562,17638128,157059.02,1060749.6,1731284.9
China,CHN,1752,26335.031,38737.402,17688740,157509.69,1063984.4,1736275
China,CHN,1753,26412.533,38848.195,17739332,157960.19,1067219.1,1741263
China,CHN,1754,26490.018,38958.938,17789902,158410.48,1070453.6,1746248.9
China,CHN,1755,26567.48,39069.637,17840450,158860.6,1073688.1,1751232.9
China,CHN,1756,26644.926,39180.29,17890976,159310.5,1076922.4,1756215
China,CHN,1757,26722.355,39290.895,17941482,159760.23,1080156.6,1761195.1
China,CHN,1758,26799.764,39401.45,17991966,160209.78,1083390.8,1766173.2
China,CHN,1759,26877.156,39511.96,18042430,160659.12,1086624.8,1771149.4
China,CHN,1760,26954.525,39622.426,18092872,161108.28,1089858.6,1776123.6
China,CHN,1761,26991.363,39672.98,18115956,161313.83,1091464.1,1778414.5
China,CHN,1762,27028.193,39723.508,18139028,161519.28,1093069.6,1780704.4
China,CHN,1763,27065.01,39774.008,18162088,161724.62,1094675,1782993.1
China,CHN,1764,27101.818,39824.484,18185136,161929.88,1096280.2,1785280.9
China,CHN,1765,27138.62,39874.938,18208176,162135.02,1097885.5,1787567.5
China,CHN,1766,27175.404,39925.363,18231202,162340.05,1099490.9,1789853
China,CHN,1767,27212.184,39975.76,18254214,162544.97,1101096,1792137.5
China,CHN,1768,27248.951,40026.133,18277216,162749.78,1102700.9,1794420.8
China,CHN,1769,27285.707,40076.484,18300208,162954.52,1104306,1796703.1
China,CHN,1770,27322.455,40126.81,18323188,163159.14,1105910.9,1798984.4
China,CHN,1771,28021.633,41149.547,18790204,167317.69,1134343.5,1844864.8
China,CHN,1772,28720.623,42171.797,19256996,171474.25,1162774.6,1890724.5
China,CHN,1773,29419.412,43193.56,19723564,175628.81,1191204.8,1936563.6
China,CHN,1774,30118.012,44214.824,20189908,179781.38,1219633.4,1982382.1
China,CHN,1775,30816.414,45235.6,20656028,183931.95,1248061,2028179.9
China,CHN,1776,31514.621,46255.887,21121922,188080.5,1276487.2,2073957.2
China,CHN,1777,32212.639,47275.68,21587592,192227.08,1304912.5,2119714
China,CHN,1778,32910.453,48294.984,22053040,196371.66,1333336.2,2165450.2
China,CHN,1779,33608.082,49313.797,22518260,200514.23,1361758.9,2211165.5
China,CHN,1780,34305.51,50332.113,22983258,204654.81,1390180.2,2256860.2
China,CHN,1781,34470.805,50569.09,23091466,205618.36,1397057.2,2267524.5
China,CHN,1782,34636.047,50805.926,23199616,206581.38,1403933.9,2278182.8
China,CHN,1783,34801.234,51042.637,23307706,207543.86,1410810,2288835.8
China,CHN,1784,34966.375,51279.215,23415734,208505.81,1417686,2299483.2
China,CHN,1785,35131.457,51515.668,23523706,209467.22,1424561.6,2310125.2
China,CHN,1786,35296.492,51751.984,23631616,210428.11,1431437,2320761.8
China,CHN,1787,35461.477,51988.17,23739464,211388.47,1438312,2331392.8
China,CHN,1788,35626.406,52224.227,23847256,212348.31,1445186.6,2342018
China,CHN,1789,35791.285,52460.152,23954988,213307.61,1452060.9,2352638.5
China,CHN,1790,35956.113,52695.95,24062660,214266.36,1458934.9,2363253
China,CHN,1791,35759.914,52402.09,23928474,213071.5,1451177.6,2350117.8
China,CHN,1792,35563.773,52108.387,23794362,211877.28,1443420.8,2336989.5
China,CHN,1793,35367.703,51814.848,23660320,210683.73,1435664.2,2323867.8
China,CHN,1794,35171.69,51521.47,23526354,209490.83,1427908.2,2310752.8
China,CHN,1795,34975.746,51228.25,23392460,208298.56,1420152.6,2297644.5
China,CHN,1796,34779.863,50935.188,23258640,207106.95,1412397.4,2284543.2
China,CHN,1797,34584.04,50642.29,23124892,205916,1404642.4,2271448.2
China,CHN,1798,34388.28,50349.543,22991216,204725.69,1396888,2258360
China,CHN,1799,34192.59,50056.965,22857616,203536.03,1389133.9,2245278.5
China,CHN,1800,33996.957,49764.547,22724088,202347.03,1381380.2,2232204
China,CHN,1801,34491.24,50407.242,23017562,204960.28,1402435.2,2261078.5
China,CHN,1802,34986.68,51049.523,23310850,207571.86,1423562.8,2289935.8
China,CHN,1803,35483.277,51691.39,23603946,210181.75,1444762.9,2318775.5
China,CHN,1804,35981.035,52332.84,23896854,212789.95,1466035.1,2347598
China,CHN,1805,36479.95,52973.875,24189572,215396.45,1487380.1,2376402.8
China,CHN,1806,36980.027,53614.5,24482100,218001.28,1508797.5,2405190.5
China,CHN,1807,37480.355,54254.707,24774440,220604.42,1530236.8,2433960.8
China,CHN,1808,37982.734,54894.496,25066588,223205.86,1551798.4,2462713.5
China,CHN,1809,38486.273,55533.875,25358548,225805.62,1573432.6,2491448.8
China,CHN,1810,38990.977,56172.836,25650318,228403.7,1595139.1,2520166.8
China,CHN,1811,38999.355,56095.094,25614818,228087.58,1596575.5,2516735.5
China,CHN,1812,39007.637,56017.387,25579336,227771.62,1598005.4,2513306
China,CHN,1813,39015.812,55939.723,25543872,227455.84,1599428.9,2509878
China,CHN,1814,39023.887,55862.098,25508426,227140.22,1600846,2506451.8
China,CHN,1815,39031.86,55784.516,25472998,226824.75,1602256.6,2503027.2
China,CHN,1816,39038.797,55706.97,25437590,226509.44,1603608.9,2499604.5
China,CHN,1817,39046.57,55629.47,25402200,226194.33,1605006.6,2496183.2
China,CHN,1818,39054.24,55552.004,25366826,225879.34,1606398.1,2492764
China,CHN,1819,39061.805,55474.582,25331474,225564.55,1607783.1,2489346.5
China,CHN,1820,39069.266,55397.203,25296138,225249.89,1609161.8,2485930.2
China,CHN,1821,39404.426,55783.094,25472348,226818.95,1624069.1,2503309.2
China,CHN,1822,39740.28,56168.67,25648416,228386.77,1639021.4,2520675
China,CHN,1823,40076.836,56553.94,25824344,229953.31,1654018.5,2538028
China,CHN,1824,40414.094,56938.902,26000128,231518.58,1669060.9,2555368
China,CHN,1825,40752.05,57323.555,26175774,233082.61,1684148.1,2572694.8
China,CHN,1826,41089.73,57707.895,26351276,234645.39,1699226.1,2590008.5
China,CHN,1827,41429.086,58091.926,26526636,236206.88,1714402.9,2607309.8
China,CHN,1828,41769.137,58475.65,26701856,237767.14,1729624.5,2624597.8
China,CHN,1829,42109.895,58859.06,26876934,239326.11,1744891.4,2641872.5
China,CHN,1830,42451.348,59242.16,27051872,240883.84,1760202.9,2659134.5
China,CHN,1831,42517.418,59239.312,27050568,240872.25,1764134.2,2659079.5
China,CHN,1832,42583.523,59236.44,27049258,240860.58,1768068.1,2659023.8
China,CHN,1833,42649.664,59233.555,27047940,240848.84,1772004.2,2658967.2
China,CHN,1834,42715.848,59230.65,27046614,240837.03,1775943,2658909.8
China,CHN,1835,42782.066,59227.723,27045278,240825.14,1779884,2658851.8
China,CHN,1836,42847.316,59224.78,27043934,240813.17,1783771.8,2658793
China,CHN,1837,42913.61,59221.82,27042582,240801.12,1787717.8,2658733.2
China,CHN,1838,42979.938,59218.84,27041220,240789.02,1791666,2658672.8
China,CHN,1839,43046.305,59215.844,27039854,240776.83,1795617,2658611.5
China,CHN,1840,43112.71,59212.824,27038476,240764.58,1799570.2,2658549.5
China,CHN,1841,43178.2,59207.41,27036002,240742.53,1803519.2,2658386.8
China,CHN,1842,43243.734,59201.97,27033518,240720.42,1807471,2658223.5
China,CHN,1843,43309.3,59196.516,27031026,240698.23,1811425,2658058.8
China,CHN,1844,43374.902,59191.03,27028524,240675.95,1815381.6,2657893.5
China,CHN,1845,43439.535,59185.535,27026014,240653.6,1819284.6,2657727.2
China,CHN,1846,43505.21,59180.016,27023494,240631.17,1823245.9,2657560.2
China,CHN,1847,43570.92,59174.477,27020964,240608.64,1827209.8,2657392.5
China,CHN,1848,43636.668,59168.918,27018426,240586.03,1831175.9,2657224
China,CHN,1849,43702.457,59163.34,27015878,240563.36,1835144.5,2657054.5
China,CHN,1850,43768.28,59157.742,27013322,240540.6,1839115.5,2656884
China,CHN,1851,43449.594,58636.895,26775516,238440.42,1826811.2,2633549.8
China,CHN,1852,43131.715,58120.664,26539814,236358.67,1814461.4,2610409.5
China,CHN,1853,42814.613,57609,26306202,234295.23,1802065.9,2587460.2
China,CHN,1854,42498.277,57101.867,26074656,232249.89,1789624.5,2564701.5
China,CHN,1855,42181.723,56599.227,25845160,230222.52,1777083.8,2542130.5
China,CHN,1856,41866.875,56101.04,25617698,228213.88,1764551.1,2519746.8
China,CHN,1857,41552.75,55607.266,25392250,226222.88,1751972.6,2497547.8
China,CHN,1858,41239.33,55117.86,25168794,224249.33,1739347.6,2475532.2
China,CHN,1859,40926.59,54632.79,24947322,222293.14,1726676.8,2453698.8
China,CHN,1860,40614.527,54152.016,24727808,220354.1,1713959.5,2432045.2
China,CHN,1861,40543.38,53874.223,24600984,219236.55,1712593.5,2419587
China,CHN,1862,40470.52,53597.867,24474816,218124.69,1711107.4,2407189.2
China,CHN,1863,40397.78,53322.945,24349300,217018.56,1709602.5,2394851.5
China,CHN,1864,40324.242,53049.44,24224438,215918.08,1708027.9,2382573.8
China,CHN,1865,40249,52777.363,24100218,214823.25,1706333.5,2370355.2
China,CHN,1866,40173.855,52506.69,23976646,213734.8,1704619.8,2358196
China,CHN,1867,40097.9,52237.418,23853710,212651.94,1702836.1,2346095.2
China,CHN,1868,40020.25,51969.547,23731414,211574.6,1700933.5,2334053.5
China,CHN,1869,39942.668,51703.06,23609752,210502.81,1699010.5,2322069.2
China,CHN,1870,39864.273,51437.953,23488718,209436.48,1697017.6,2310143.5
China,CHN,1871,40104.69,51580.16,23553680,210017.66,1708724.1,2316537.2
China,CHN,1872,40345.062,51722.652,23618774,210600,1720421.4,2322943.2
China,CHN,1873,40587.207,51865.58,23684064,211184.12,1732207.4,2329367.8
China,CHN,1874,40830.254,52008.938,23749552,211770.03,1744033.6,2335810
China,CHN,1875,41073.305,52152.73,23815240,212357.72,1755850,2342271
China,CHN,1876,41318.08,52296.805,23881058,212939.9,1767755.5,2348743.8
China,CHN,1877,41563.742,52441.324,23947074,213523.83,1779701.1,2355234.5
China,CHN,1878,41809.414,52586.266,24013290,214109.5,1791636.8,2361743.5
China,CHN,1879,42056.875,52731.65,24079702,214696.9,1803662.1,2368270.8
China,CHN,1880,42303.586,52873.297,24144412,215269.11,1815716.8,2374641.5
China,CHN,1881,42571.51,53039.5,24220334,215915.33,1828740.1,2382127.5
China,CHN,1882,42841.406,53206.19,24296480,216563.38,1841861.1,2389633.8
China,CHN,1883,43112.473,53373.66,24372978,217214.36,1855030.8,2397172.5
China,CHN,1884,43383.688,53541.613,24449702,217867.14,1868197.2,2404732
China,CHN,1885,43656.93,53710.2,24526710,218522.31,1881462.9,2412318
China,CHN,1886,43931.29,53879.414,24604010,219183.19,1894776.6,2419930.2
China,CHN,1887,44206.71,54049.11,24681528,219845.88,1908138.1,2427563
China,CHN,1888,44520.977,54219.58,24759398,220511.5,1922115.8,2435227.5
China,CHN,1889,44837.527,54390.67,24837554,221179.5,1936196.8,2442918.8
China,CHN,1890,45155.387,54562.25,24915930,221849.3,1950329.5,2450630
China,CHN,1891,45564.215,54836.344,25041122,222890.12,1968572,2462984.2
China,CHN,1892,45976.707,55112.62,25167314,223939.1,1986955.8,2475430.2
China,CHN,1893,46391.85,55390.906,25294420,224995.45,2005429.2,2487960.2
China,CHN,1894,46808.676,55671.156,25422426,226059.05,2023939,2500573
China,CHN,1895,47229.13,55953.484,25551376,227130.31,2042591,2513272.2
China,CHN,1896,47649.31,56230.402,25677862,228201.75,2061313.8,2525744.8
China,CHN,1897,48071.105,56509.19,25805198,229280.25,2080071.8,2538296.2
China,CHN,1898,48496.46,56789.816,25933376,230365.66,2098972.2,2550924.2
China,CHN,1899,49153.754,58872.664,26062694,231499.81,2117962,2563746.5
China,CHN,1900,49353.33,57356.47,26191236,232548.39,2136979.8,2576318.5
China,CHN,1901,52528.004,58886.254,26340468,233923.98,2156715.2,2599578.2
China,CHN,1902,55967.03,62205.254,26490858,235349.28,2176544.2,2623127
China,CHN,1903,63762.82,98317.18,26648990,237566.36,2196475.5,2649053.8
China,CHN,1904,67366.23,101958.266,26801958,239026.5,2216434.8,2673011.8
China,CHN,1905,71214.195,107119.17,26956142,240532,2236542.8,2697247.2
China,CHN,1906,111170.95,376503.47,27175636,248524.94,2257771,2739861.2
China,CHN,1907,114151.36,371337.5,27334762,249876.25,2278965.5,2763986.8
China,CHN,1908,132476.69,476109.97,27524008,253963.11,2300351.2,2795990
China,CHN,1909,131544.98,441701.22,27678654,254623.58,2321798.5,2818489
China,CHN,1910,130119.4,404363.38,27832092,255202.5,2343290,2840903
China,CHN,1911,155207.89,536994.44,28264190,261663.55,2379388.8,2893983.2
China,CHN,1912,114722.2,231659.95,28457918,256481.5,2415552.2,2911634.5
China,CHN,1913,120530.62,238066.98,28805236,259497.4,2451996,2954414.8
China,CHN,1914,133821.62,288203.62,29211746,263882.44,2488755.5,3002625.8
China,CHN,1915,139286.98,288270,29582564,277493.3,2525738.2,3046907.8
China,CHN,1916,149378.05,319659.8,29929612,280136.47,2562968.2,3092607.5
China,CHN,1917,159909.25,352249.84,30279696,282842.56,2600377.2,3138956
China,CHN,1918,169176.78,376585.3,30621568,285324.47,2638084.8,3184914
China,CHN,1919,183826.9,429033.12,31001652,288714.4,2676060.2,3234784.2
China,CHN,1920,197336.33,473469.6,31373696,291889.53,2714208.2,3284273.5
China,CHN,1921,198034.5,453566.78,31473650,292210.62,2726372.5,3304283.2
China,CHN,1922,206278.66,472663.5,31616636,293709.2,2740633,3328597.5
China,CHN,1923,225890.52,548696.8,31825138,296965.44,2752868.2,3359303
China,CHN,1924,238646.08,589086.25,31995628,299164.03,2763779.2,3386324.2
China,CHN,1925,239896.84,563969.9,32091316,299347.16,2840467.2,3406213
China,CHN,1926,235081.28,518929.03,32156930,299580.88,2895754.2,3422956
China,CHN,1927,250304.73,565364.7,32341696,302972.38,2925022,3450980.5
China,CHN,1928,256144.08,564172.7,32472346,304945.44,2944585.8,3473884.5
China,CHN,1929,265006.88,579248.6,32621878,307379.72,2952547.2,3498572.2
China,CHN,1930,275332.62,601830,32788942,309968.1,2948760,3527689.2
China,CHN,1931,286617.94,626769.94,33071434,314235.03,2966491.5,3567574
China,CHN,1932,286753.4,604440.25,33286472,316883.7,2970605.5,3601560.2
China,CHN,1933,301399.1,646105.5,33593136,321673.94,2969881.8,3644202.2
China,CHN,1934,325145.25,729338.56,33889320,327281.2,2965788,3684184.2
China,CHN,1935,353093.1,824319.2,34216948,333355.38,2961953.5,3729534.5
China,CHN,1936,378897.78,907434.4,34489972,339503.5,2988030.2,3769953
China,CHN,1937,372815.5,852854.94,34563428,340922.94,3007935,3793071.5
China,CHN,1938,366739.53,794284.56,34653996,342287.28,3021788.8,3820868.8
China,CHN,1939,406789.25,927343.94,35022184,350183.6,3029728.5,3875281.5
China,CHN,1940,469261.66,1139771.5,35523196,360888.72,3031861,3946880.2
China,CHN,1941,545279.4,1365620.4,36189050,367020.7,3040859.8,4015115
China,CHN,1942,581254.1,1414892.5,36644760,367135.25,3039798.8,4068286
China,CHN,1943,534752.06,1231794.6,36532220,358757.97,3045128,4035726
China,CHN,1944,548023.6,1231073,36818788,356904.53,3057018.8,4059845.8
China,CHN,1945,409261.9,719287,36056468,336949.84,3070532.2,4018589.5
China,CHN,1946,349287.75,521110.28,35756564,331184.03,3108857,4010159.5
China,CHN,1947,360602.53,549590.3,35960708,333552.94,3159139.8,4042265.5
China,CHN,1948,335580.44,448325.4,35928196,331543.75,3210954.2,4061128.8
China,CHN,1949,451561.1,832951.2,36791610,345674.8,3287093.8,4140446.8
China,CHN,1950,516470.22,1044140.9,37294064,353478.84,3353941,4196592
China,CHN,1951,603108.2,1280779.5,39235724,372528.75,3491686,4347328
China,CHN,1952,695788,1531651.8,41332544,392696.03,3602741.8,4507515.5
China,CHN,1953,726741.8,1568753.2,43134656,406331.3,3703310.2,4649573
China,CHN,1954,828726.06,1821507,45539332,427569.72,3780183,4851440
China,CHN,1955,940953.8,2082349.9,48023348,448913,3832609.8,5066981
China,CHN,1956,1026073.75,2315710.8,50485304,521203.12,3894103,5285017.5
China,CHN,1957,1141073.4,2724676.2,53350496,599493.44,3976218.5,5496678
China,CHN,1958,1906577.8,5377792.5,61062576,749293.1,4084244.2,6089236.5
China,CHN,1959,2455176.5,7131166.5,67471016,874733.7,4191874,6635690.5
China,CHN,1960,2596134.8,7659577.5,70124910,942520.5,4258540,6839083
China,CHN,1961,1988444,5548323,66497140,825910.7,4348241.5,6505300
China,CHN,1962,1691652.5,4486673,65888116,749023.7,4427367,6414581
China,CHN,1963,1697159.8,4410747.5,68604700,711525.7,4498695.5,6603632.5
China,CHN,1964,1718578.4,4361235,70949520,670566.25,4517190,6810533.5
China,CHN,1965,1875433.4,4642407.5,74400400,635047,4917369.5,7136576
China,CHN,1966,2061928.8,4997202,77582620,662837.06,5340831.5,7552390
China,CHN,1967,1814944.6,4228027.5,76606970,646964.56,5317421.5,7496154.5
China,CHN,1968,1962566,4498431,79810584,674596.44,5804990,7875623.5
China,CHN,1969,2323431,5336584,85261500,723199,6047183.5,8596176
China,CHN,1970,2963035,6864576,93374610,788127.1,6667515.5,9708681
China,CHN,1971,3368824.8,7552523,98642890,865831.3,6842854,10533978
China,CHN,1972,3586656.5,7925916.5,102336824,915201.6,7014661.5,11008856
China,CHN,1973,3774864,8085168,105323740,923457,7180513,11468458
China,CHN,1974,3876493.8,8053544,107932120,923925.8,7333739.5,11942052
China,CHN,1975,4361760.5,9354705,114033930,1003860.9,7483604,12482302
China,CHN,1976,4492746,9449687,115754584,1021483.3,7617814.5,12722322
China,CHN,1977,4995958.5,10871277,121319736,1100352.4,7750973,13230617
China,CHN,1978,5647878,12052938,126592030,1168518.2,7882112,13776711
China,CHN,1979,5842942,12302604,129229460,1164146.9,8003809.5,14125996
China,CHN,1980,5861651.5,11667600,131532950,1109387.8,8122283,14210102
China,CHN,1981,5790833.5,11755982,132555940,1103822,8234116,14215158
China,CHN,1982,6016494,12292300,136050820,1126373.1,8348354.5,14546963
China,CHN,1983,6341566,12903291,140356200,1159832.5,8470503,15054807
China,CHN,1984,6865681.5,14079048,145586910,1217747.4,8604033,15620246
China,CHN,1985,7055181,14532775,153122400,1244417.5,8740977,16088695
China,CHN,1986,7538383,15215934,157351870,1300672.4,8898568,16630041
China,CHN,1987,8178813.5,16234171,162795500,1357525.1,9077785,17287906
China,CHN,1988,8836000,17354670,168975250,1406038.1,9252219,17993174
China,CHN,1989,9323502,17503316,170809650,1446123.8,9427607,18427898
China,CHN,1990,9580008,17720734,171100780,1485995.4,9590476,18709704
China,CHN,1991,10263475,18157064,179946960,1474011.6,9736394,19728138
China,CHN,1992,11167286,18769698,184652420,1480158,9869470,20615492
China,CHN,1993,12050402,19810218,193853580,1584117.2,9982474,21930898
China,CHN,1994,12575701,20695586,193630000,1726500,10091877,21802006
China,CHN,1995,13855062,22363832,198852980,1921946.5,10193029,22720822
China,CHN,1996,14915788,21883608,194293000,1806960.9,10285181,23421086
China,CHN,1997,14469632,21651726,202188900,1855271.1,10356588,24030716
China,CHN,1998,14770728,21352168,197387490,1666635.6,10423426,23791700
China,CHN,1999,15047995,20393326,196320260,1568363.5,10487374,23990262
China,CHN,2000,16321774,20988480,197774430,1483103.9,10529420,24498794
China,CHN,2001,16653906,21860396,194014620,1507226.1,10556918,24078566
China,CHN,2002,17720728,23235868,190921900,1504815.6,11062269,24303680
China,CHN,2003,20128142,27025604,199222720,1547816,10960972,24819844
China,CHN,2004,22974896,31871966,206839460,1621011.5,10974936,25969248
China,CHN,2005,25027820,37032770,212407500,1695364.5,11315620,26535102
China,CHN,2006,27099222,38106840,215306240,1726354.8,11724518,26740828
China,CHN,2007,28593190,37677076,211555020,1710239.9,11772411,26265242
China,CHN,2008,29032060,35589424,201032770,1670154,11994871,26103896
China,CHN,2009,28852358,33376766,202762800,1668308.5,12011467,26546354
China,CHN,2010,28932816,30737120,200864100,1691125.4,12020128,28033806
China,CHN,2011,31145728,31924896,198534660,1675846.1,12395740,28859924
China,CHN,2012,31612264,31197390,196536080,1665162.5,12563745,30094124
China,CHN,2013,30139322,28252182,194264800,1583970.4,12509572,30062010
China,CHN,2014,27716190,23278252,181692670,1463695.5,12434794,30974468
China,CHN,2015,26377308,19735922,170748590,1336716.1,12380049,30427836
China,CHN,2016,25173388,16246622,159170420,1249428.6,12230619,30461682
China,CHN,2017,24625388,13366981,153032560,1234337.1,12182329,30683718
China,CHN,2018,23805978,12396312,146721520,1174918.6,12231544,30335260
China,CHN,2019,22269610,11481979,139488750,1104018.2,12276450,29716510
China,CHN,2020,21530846,10415895,136644500,1087651.5,12314406,29175252
China,CHN,2021,21707292,10327900,134390030,1086842.1,12353693,29175710
China,CHN,2022,20988510,10382385,131307220,1061514.2,12373062,28647846